Month Name,Agency,Description,Borough,# of Incidents,Response Times
2018 / 12,FDNY,Average response time to non-structural fires,Queens,145,382.64
2018 / 12,FDNY,Average response time to non-structural fires,Staten Island,31,3211.9
2018 / 12,FDNY,Average response time to non-structural fires,Unspecified,1,1164
2018 / 12,FDNY,Average response time to non-fire emergencies,Bronx,6332,577.12
2018 / 12,FDNY,Average response time to non-fire emergencies,Brooklyn,8813,488.75
2018 / 12,FDNY,Average response time to non-fire emergencies,Manhattan,6822,560.37
2018 / 12,FDNY,Average response time to non-fire emergencies,Queens,6001,556.72
2018 / 12,FDNY,Average response time to non-fire emergencies,Staten Island,1490,512.08
2018 / 12,FDNY,Average response time to non-fire emergencies,Unspecified,11,814.45
2018 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,462,489.57
2018 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,565,475.73
2018 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,451,437.58
2018 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,486,498.84
2018 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,131,457.93
2018 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,10455,589.21
2018 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,12340,563.1
2018 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,10886,559.8
2018 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,8939,579.26
2018 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,2162,521.43
2018 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,23,940.17
2018 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,25388,814.82
2018 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,29301,726.19
2018 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,24752,771.34
2018 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,20695,663.99
2018 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4588,614.11
2018 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,120,1145.33
2018 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2729,519.95
2018 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4390,428.82
2018 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,3103,498.47
2018 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,3182,471.97
2018 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,773,450.24
2018 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,4,445.75
2018 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,11304,565.9
2018 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,13369,501.62
2018 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,11866,531.58
2018 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,9788,521.42
2018 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2330,475.87
2018 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,24,852.46
2018 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,4555,51.72
2018 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,7170,54.02
2018 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,6501,58.57
2018 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,4857,44.04
2018 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1201,57.78
2018 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,10,30
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,469,44.16
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,602,68.16
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,467,44.02
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,404,44.85
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,76,36.84
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Unspecified,1,0
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,469,54.35
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,602,30.68
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,467,53.63
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,404,52.45
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,76,57.89
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Unspecified,1,0
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,469,1.27
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,602,1
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,467,2.14
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,404,2.45
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,76,2.63
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Unspecified,1,100
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,469,0.21
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,602,0.17
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,467,0.21
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,404,0.25
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,76,2.63
2018 / 12,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Unspecified,1,0
2018 / 11,FDNY,Average response time to structural fires,Bronx,288,314.2
2018 / 11,FDNY,Average response time to structural fires,Brooklyn,438,270.16
2018 / 11,FDNY,Average response time to structural fires,Manhattan,302,308.15
2018 / 11,FDNY,Average response time to structural fires,Queens,227,316.96
2018 / 11,FDNY,Average response time to structural fires,Staten Island,56,302.41
2018 / 11,FDNY,Average response time to non-structural fires,Bronx,103,422.71
2018 / 11,FDNY,Average response time to non-structural fires,Brooklyn,216,384.44
2018 / 11,FDNY,Average response time to non-structural fires,Manhattan,123,391.72
2018 / 11,FDNY,Average response time to non-structural fires,Queens,136,368
2018 / 11,FDNY,Average response time to non-structural fires,Staten Island,23,409.29
2018 / 11,FDNY,Average response time to non-fire emergencies,Bronx,6036,585.25
2018 / 11,FDNY,Average response time to non-fire emergencies,Brooklyn,8730,483.78
2018 / 11,FDNY,Average response time to non-fire emergencies,Manhattan,6982,547.77
2018 / 11,FDNY,Average response time to non-fire emergencies,Queens,5922,551.26
2018 / 11,FDNY,Average response time to non-fire emergencies,Staten Island,1487,509.1
2018 / 11,FDNY,Average response time to non-fire emergencies,Unspecified,7,661
2018 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,403,496.47
2018 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,571,470.3
2018 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,458,444.88
2018 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,466,474.6
2018 / 11,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,132,454.5
2018 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,9881,616.15
2018 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,11798,564.94
2018 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,10822,590.03
2018 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,8452,566.93
2018 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1962,529.72
2018 / 11,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,25,711.08
2018 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,24548,858.36
2018 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,27999,734.3
2018 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,24166,810.69
2018 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,19857,655.87
2018 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4320,644.34
2018 / 11,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,118,1180.75
2018 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2591,509.78
2018 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4356,435.72
2018 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,3126,499.34
2018 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2956,468.6
2018 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,755,461.86
2018 / 11,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,5,670.8
2018 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,10652,590.78
2018 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,12716,506.94
2018 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,11808,558.83
2018 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,9184,513.69
2018 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2113,478.97
2018 / 11,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,26,684.42
2018 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,4299,53.04
2018 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,6891,54.55
2018 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,6495,57.45
2018 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,4592,45.25
2018 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1147,59.02
2018 / 11,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,12,25
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,391,41.67
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,654,62.14
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,425,45.71
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,363,40.32
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,79,45
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,391,54.29
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,654,36.2
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,425,51.04
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,363,56.99
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,79,51.25
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,391,3.03
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,654,1.36
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,425,3.02
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,363,2.69
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,79,3.75
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,391,1.01
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,654,0.3
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,425,0.23
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,363,0
2018 / 11,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,79,0
2018 / 10,FDNY,Average response time to structural fires,Bronx,273,312.05
2018 / 10,FDNY,Average response time to structural fires,Brooklyn,317,259.66
2018 / 10,FDNY,Average response time to structural fires,Manhattan,231,302.94
2018 / 10,FDNY,Average response time to structural fires,Queens,199,305.84
2018 / 10,FDNY,Average response time to structural fires,Staten Island,27,322.56
2018 / 10,FDNY,Average response time to non-structural fires,Bronx,72,385.99
2018 / 10,FDNY,Average response time to non-structural fires,Brooklyn,166,339.19
2018 / 10,FDNY,Average response time to non-structural fires,Manhattan,157,412.68
2018 / 10,FDNY,Average response time to non-structural fires,Queens,123,402.72
2018 / 10,FDNY,Average response time to non-structural fires,Staten Island,15,377.4
2018 / 10,FDNY,Average response time to non-fire emergencies,Bronx,6270,544.54
2018 / 10,FDNY,Average response time to non-fire emergencies,Brooklyn,9069,486.98
2018 / 10,FDNY,Average response time to non-fire emergencies,Manhattan,7292,527.31
2018 / 10,FDNY,Average response time to non-fire emergencies,Queens,5882,533.34
2018 / 10,FDNY,Average response time to non-fire emergencies,Staten Island,1421,490.22
2018 / 10,FDNY,Average response time to non-fire emergencies,Unspecified,11,653.36
2018 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,452,469.79
2018 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,616,482.49
2018 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,501,446.04
2018 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,502,484.78
2018 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,139,443.82
2018 / 10,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,3,729.67
2018 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,10750,568.21
2018 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,12454,555.74
2018 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,11751,562.74
2018 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,8622,562.64
2018 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,2015,510.42
2018 / 10,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,24,763.62
2018 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,26385,752
2018 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,31050,733.98
2018 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,26705,802.4
2018 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,21241,644.72
2018 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4641,604.03
2018 / 10,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,146,1108.44
2018 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2633,484.94
2018 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4323,427.68
2018 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,3294,484.73
2018 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2908,459.75
2018 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,704,445.47
2018 / 10,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,6,674
2018 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,11594,536.79
2018 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,13521,498.65
2018 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,12782,531.12
2018 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,9397,508.04
2018 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2176,464.36
2018 / 10,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,24,714.42
2018 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,4623,53.82
2018 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,7375,54.32
2018 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,7247,57.49
2018 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,4784,46.88
2018 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1215,60.05
2018 / 10,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,9,0
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,345,42.94
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,483,67.77
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,388,45.62
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,322,41.3
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,42,35.71
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,345,55.33
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,483,31.4
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,388,49.23
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,322,54.35
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,42,61.9
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,345,1.73
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,483,0.62
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,388,4.38
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,322,4.35
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,42,2.38
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,345,0
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,483,0.21
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,388,0.77
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,322,0
2018 / 10,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,42,0
2018 / 09,FDNY,Average response time to structural fires,Bronx,267,304.43
2018 / 09,FDNY,Average response time to structural fires,Brooklyn,349,275.72
2018 / 09,FDNY,Average response time to structural fires,Manhattan,204,303.24
2018 / 09,FDNY,Average response time to structural fires,Queens,198,304.22
2018 / 09,FDNY,Average response time to structural fires,Staten Island,25,295.48
2018 / 09,FDNY,Average response time to non-structural fires,Bronx,96,405.12
2018 / 09,FDNY,Average response time to non-structural fires,Brooklyn,196,307.34
2018 / 09,FDNY,Average response time to non-structural fires,Manhattan,134,376.67
2018 / 09,FDNY,Average response time to non-structural fires,Queens,134,394.07
2018 / 09,FDNY,Average response time to non-structural fires,Staten Island,41,356.22
2018 / 09,FDNY,Average response time to non-structural fires,Unspecified,1,206
2018 / 09,FDNY,Average response time to non-fire emergencies,Bronx,6448,547.41
2018 / 09,FDNY,Average response time to non-fire emergencies,Brooklyn,9068,476.1
2018 / 09,FDNY,Average response time to non-fire emergencies,Manhattan,7307,524.8
2018 / 09,FDNY,Average response time to non-fire emergencies,Queens,5678,544.02
2018 / 09,FDNY,Average response time to non-fire emergencies,Staten Island,1361,494.53
2018 / 09,FDNY,Average response time to non-fire emergencies,Unspecified,15,997.2
2018 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,452,479.18
2018 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,503,467.98
2018 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,459,438.34
2018 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,458,483.44
2018 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,103,474.19
2018 / 09,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,4,571
2018 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,10145,565.41
2018 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,11605,556.88
2018 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,10801,567.19
2018 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,8066,566.88
2018 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1855,525.94
2018 / 09,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,30,623.17
2018 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,25402,756.33
2018 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,29711,727.76
2018 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,25435,808.6
2018 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,20284,647.37
2018 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4409,602.12
2018 / 09,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,142,1139.11
2018 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2679,487.9
2018 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4073,423.95
2018 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,3124,477.73
2018 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2652,470.29
2018 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,677,427.62
2018 / 09,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,7,522.71
2018 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,10910,537.42
2018 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,12688,502.74
2018 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,11795,538.3
2018 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,8841,517.24
2018 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2023,473.11
2018 / 09,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,32,758.06
2018 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,4288,53.13
2018 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,6817,55.28
2018 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,6597,58.46
2018 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,4512,44.83
2018 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1053,55.5
2018 / 09,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,12,50
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,363,47.38
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,545,65.5
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,338,42.9
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,332,45.18
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,66,40.91
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Unspecified,1,100
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,363,50.41
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,545,33.21
2018 / 09,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,338,53.55
